Text	TrueLabel	PredictedLabels(Top-5)
ball 2k16 with my favorite larga vineyards	19 💯	['❤', '😍', '💕', '💜', '😊']
": 1. favorite tv show?" forever will be the 100 and grey's	2 😍	['💜', '❤', '💕', '😍', '💙']
watching one of my favorite indie bands thexx was amazing and had…	13 ✨	['😍', '❤', '💕', '💜', '💙']
saturday sparkle: eric is adding the finishing touches... stick around for the rest of the…	2 😍	['😜', '🔥', '✨', '😎', '😉']
now that's a gift bag, someone is going to be so stoked by …	2 😍	['😁', '😜', '🔥', '😉', '😂']
oh yes west side	11 🇺🇸	['😂', '😁', '😜', '😍', '😊']
i love you. just kidding. i hate you. oaks farm	8 😘	['❤', '💕', '😘', '😍', '💜']
with this girl... - walt disney world	9 ❤	['✨', '💙', '❤', '😍', '💜']
quick cover of "your body is a wonderland" by john mayer sung by me :) hall	9 ❤	['💜', '😉', '✨', '📷', '🔥']
these things happen. shooter: …	1 📸	['✨', '📷', '😉', '😜', '😊']
charles river	17 😊	['☀', '📸', '📷', '💙', '😜']
today legends academy	9 ❤	['😁', '✨', '😍', '😎', '😉']
in a murphy sandwich	16 😎	['📷', '🔥', '😘', '😜', '😁']
never a dull moment with my park	18 💜	['📷', '📸', '❤', '😎', '☀']
a dream is a wish your makes 's magic kingdom	14 💙	['✨', '💙', '😊', '😍', '💜']
friday turn-up with theatre	7 🔥	['🔥', '✨', '📷', '😜', '😊']
our lobby has the best lighting ️ come take selfies with me until the sun goes down.…	12 ☀	['☀', '💜', '💙', '😍', '😎']
️ i had such a blast with you at the…	9 ❤	['😊', '📷', '😘', '💕', '❤']
happy birthday to my man crush monday, , washington	2 😍	['😘', '😊', '❤', '🇺🇸', '💜']
all of my food dreams just came true. pregnant cravings satisfied! …	19 💯	['😉', '😂', '😜', '😁', '✨']
thanks jana h. for your ticket purchase today!!! celebrate veterans! dinner! music! dance! …	11 🇺🇸	['😘', '💜', '😁', '💕', '📸']
polaroid land cameras are simply amazing. they are also really easy to find and super cheap so…	13 ✨	['😂', '😎', '😊', '😍', '✨']
i love the coach. university of pennsylvania	14 💙	['💕', '❤', '💜', '😘', '💙']
because when at urban, you must get into the photo booth. mall	1 📸	['📸', '📷', '😁', '😂', '😜']
now it sounds like the holidays. …	5 🎄	['😂', '😜', '😉', '📸', '💯']
and so it begins... county convention center	16 😎	['💯', '😍', '😉', '❤', '🇺🇸']
leaving mass and wherever i may roam - metallica is on the radio. (. michael the archangel)	4 😉	['😜', '📸', '😂', '💜', '💕']
make it last forever, friendship never ends …	9 ❤	['💯', '😜', '😂', '😊', '😉']
3a -- seagrove beach	12 ☀	['☀', '😎', '📷', '💙', '😜']
thank you for being my best friend j. daley center	15 💕	['😘', '💕', '💜', '❤', '😊']
i'm the reprogramming to your matrix. use me up ️ , los angeles	9 ❤	['📸', '📷', '✨', '😎', '😁']
didn't nobody really love me , so i got gangsta & lost my heart	19 💯	['❤', '💕', '💜', '😘', '😍']
i'm pretty sentimental...i love using my grandmother's every …	18 💜	['❤', '💕', '😘', '💜', '😍']
sissy ️ slope stables llc.	9 ❤	['💜', '💕', '😎', '❤', '😜']
it's always a good time	8 😘	['😊', '😁', '😎', '☀', '😜']
sounds so good seth	16 😎	['😊', '☀', '😁', '😎', '😉']
happy day …	4 😉	['🇺🇸', '😊', '😁', '😘', '💜']
back home i go! ️ ( mitchell international airport - in milwaukee, wi)	12 ☀	['💙', '😍', '😊', '❤', '🇺🇸']
what better way to start a day than with coffee and a good book. , michigan	17 😊	['😊', '😁', '☀', '😎', '😉']
my babies ! now i'm happy! em…	2 😍	['❤', '😍', '💙', '💕', '😂']
so thankful for that precious baby who was born to save us all …	9 ❤	['💙', '💕', '❤', '😘', '😍']
these two. heart eyes forever. , nevada	2 😍	['❤', '💜', '💙', '😍', '💕']
i performed an on my for the first time today! i the way it burbles…	9 ❤	['😁', '😊', '😂', '😉', '😎']
when you have not one, not two, but three hot dates to glitterball thanks for still being my…	4 😉	['😘', '🔥', '😉', '😁', '💜']
just us....... …	9 ❤	['😉', '😂', '😜', '😁', '💯']
it's foodie friday and today i'm sharing this insanely delicious looking pitmaster combo taken…	6 📷	['😁', '😎', '✨', '📷', '😊']
in love with how this turned out, thanks so much alvladimirov	15 💕	['😘', '❤', '💕', '💜', '😍']
new & center mall toronto canada	15 💕	['🔥', '😍', '✨', '😉', '📸']
2017 has been the wildest "era of gera" thus far central park. new york, new york. …	3 😂	['✨', '🔥', '📸', '😍', '📷']
happy 4th of july park	11 🇺🇸	['🇺🇸', '😊', '😘', '❤', '💜']
whyyyy....commander! i was dying then, and i'm dying now watching this...this is what…	3 😂	['😂', '😁', '💜', '😎', '📸']
concert spam …	14 💙	['😍', '🔥', '💜', '😉', '❤']
good times with a real one. red rooster	19 💯	['😊', '💯', '😉', '☀', '😎']
listen in for my song!!! tune in at 3pm for the midday mix w/ on the …	7 🔥	['🔥', '💯', '📷', '😜', '😂']
learning the local coffee culture. mini adventures with my precious family ️ …	9 ❤	['❤', '📷', '😊', '💕', '💙']
when & link up to make history all over again. congrats to my two clients brandycierra…	13 ✨	['💯', '🔥', '💜', '✨', '😊']
wwwwaaaahhhhhhh...it came from the mail in the philippines thank you salvia!..you and you're…	2 😍	['😘', '😊', '😁', '❤', '💜']
with repostapp・・・ , georgia	9 ❤	['💯', '😂', '💙', '✨', '📸']
️ park	9 ❤	['📷', '📸', '😎', '❤', '☀']
it's gonna be a great day of smithtown	16 😎	['😊', '😁', '😎', '☀', '😉']
grilling cubans for dinner and maybe a late night snack , texas	0 😜	['😜', '🔥', '✨', '😎', '😉']
he's my remy boy of blues myrtle beach	9 ❤	['☀', '💙', '😎', '📷', '😜']
class ( complex in los angeles, ca)	9 ❤	['🔥', '📷', '😉', '📸', '✨']
twinning with one of my favs! ️those former rippers creek elementary…	9 ❤	['😍', '📷', '😊', '💕', '📸']
(last week) . congrats to our most recent graduates at our cincinnati campus media…	3 😂	['💜', '😘', '😊', '💙', '💕']
new beginnings. celebrating the 4th with renewed motivation & inspiration! i need to let my…	11 🇺🇸	['🇺🇸', '✨', '📸', '🔥', '😉']
regrann_app from adlinee_ - my team is more than elite mannequin challenge d9 edition…	7 🔥	['💙', '😂', '😊', '🔥', '💯']
la la land! ️ love my city! canyon…	9 ❤	['❤', '💕', '😘', '💜', '💙']
freshly groomed and ready to party! …	6 📷	['😜', '📸', '💯', '🔥', '😎']
when your horse has prettier hair than you. menlo	2 😍	['😍', '💜', '😘', '✨', '📸']
s/o to snubbalito and all the movers episode 10 was littttt ,coming soon …	19 💯	['📸', '🔥', '📷', '😉', '💯']
soaking up the last rays of ️ with kaitie_taggart on this ! …	12 ☀	['☀', '😎', '😁', '💙', '🎄']
presented photo by: place: grand teton national park congratulations!…	11 🇺🇸	['📷', '📸', '😎', '🇺🇸', '😊']
days until i do! hill	19 💯	['☀', '😁', '😊', '📸', '✨']
good to connect and seriously i'm not that hyper collin lol!! yay sushi canada	17 😊	['😊', '☀', '😁', '😉', '😜']
marosquad …	11 🇺🇸	['😜', '📸', '😍', '😂', '😉']
i thought i was going much faster than this looks. …	3 😂	['😜', '😂', '😉', '😁', '🔥']
jace wayland shadowhunters institute	2 😍	['😊', '💜', '📸', '😂', '😍']
getting in the holiday spirit with downtown…	5 🎄	['🎄', '📷', '😁', '✨', '😜']
reppin justinbieber with that fresh sundays 10am | 2800…	7 🔥	['📸', '😎', '😁', '💙', '💯']
this is why i ️ ️ ️ my cuban friends!!! don't forget to change your clocks tonight.…	9 ❤	['🇺🇸', '💯', '😎', '📸', '😂']
for us by us davechapelle saintrecords chappelle: live from radio city	13 ✨	['📸', '💯', '✨', '📷', '🔥']
even magenta can be subtle ! …	4 😉	['😜', '📸', '😍', '😂', '😉']
mudflaps...... really? …	3 😂	['😜', '📸', '😍', '😂', '😉']
be ready for the show at 7 county high school	0 😜	['💯', '💙', '😜', '💜', '😎']
my little initiated today of nebraska-lincoln	2 😍	['😁', '😊', '😍', '😉', '✨']
gracie girl. , california	9 ❤	['📸', '📷', '✨', '😎', '💙']
we high school musical theatre! performing…	9 ❤	['💙', '💜', '💯', '💕', '😎']
can't forget my fave. lounge, hoboken nj	13 ✨	['🇺🇸', '😁', '😎', '😜', '💜']
good morning sunshine , ontario	12 ☀	['☀', '😊', '😁', '😎', '😜']
missed my girl riverwalk	9 ❤	['💜', '💕', '😍', '❤', '😘']
happy 4th of july!!! today enjoy free shipping and 20% off. …	11 🇺🇸	['🇺🇸', '😊', '😁', '😘', '✨']
that serious face when you ran a mile but still got hit training to do for 30 minutes let's…	7 🔥	['😂', '😜', '💯', '😉', '🔥']
congrats to emily and abdulhak on their beautiful baby boy you guys…	14 💙	['💙', '😍', '💕', '😘', '❤']
happy 21st babe, i'm finally dating someone who isn't underage 's steakhouse & grille	3 😂	['😘', '😊', '🇺🇸', '😁', '💜']
great night with my faves	9 ❤	['😊', '🔥', '📷', '✨', '😉']
soon as you move on the nigga swear he don't want the other bitch , shit you could've fooled me with all that damn cheating .	3 😂	['😂', '💯', '🔥', '😉', '📸']
weeeeeeeeeeee! national mall	11 🇺🇸	['🇺🇸', '📷', '📸', '😎', '😊']
ayce shabu shabu, chinatown moon festival and boombox with my beauty of a boyfren. best ️.	9 ❤	['💜', '💕', '😍', '😘', '❤']
love this song! on repeat with diva not-…	2 😍	['❤', '💕', '😘', '💜', '😍']
new caps from amerikan_outkast available online now also will be sold at special…	7 🔥	['✨', '🔥', '📸', '😍', '📷']
stalkin kwush.... on da low tho... bar and grill	3 😂	['😜', '💯', '🔥', '😎', '😉']
shopping time,,,	8 😘	['😜', '😊', '😍', '🎄', '💜']
love is love is love awakening music festival 2016	9 ❤	['❤', '💕', '😘', '💜', '😍']
pleasure eyes gazing through jagged foam pieces by at ( by	6 📷	['😉', '😍', '✨', '😜', '📷']
my love this guy has my heart always and forever! …	15 💕	['❤', '💕', '💜', '😘', '💙']
my daughter crystal wanna be like her dad fan & a …	2 😍	['😂', '😉', '😜', '💯', '📸']
i am in board game heaven pretty much feeling exactly how that guys face looks. uncommons	2 😍	['😂', '😊', '😉', '😜', '😁']
apparently my skin has been kissed by the sun ️	12 ☀	['☀', '✨', '😎', '😂', '📷']
the best thing a girl can have is her girlfriends. level up kitchen and barcadium	9 ❤	['💕', '😍', '💜', '😘', '❤']
that's my best friend palace of auburn hills	8 😘	['💕', '💜', '💙', '❤', '😍']
sisterly love ️!! daytona beach	9 ❤	['❤', '💕', '😘', '💜', '💙']
anyone wanna hit the gym, and get their pump on wit me b4 i go to work?? hmu.	19 💯	['💯', '🔥', '😂', '😉', '📷']
i turn 23 tomorrow	7 🔥	['📷', '🔥', '😊', '😎', '😉']
little miss is an artist works	2 😍	['💜', '💕', '😘', '❤', '😊']
i asked her to smile and that's what i got , pennsylvania	3 😂	['😁', '😊', '😂', '😜', '😉']
can you tell this was a hooter girl reunion? west 6th	3 😂	['😍', '❤', '💕', '😜', '💜']
blue jays way | this street is going to by simply chaotic in a few years! ---…	10 😁	['💙', '😉', '😜', '🔥', '😂']
so sad she took the vaccine, but malcolm, your face is . …	3 😂	['😂', '😜', '😉', '📷', '😁']
quick selfie with the washington monument. such a beautiful windy day in d.c. ,…	11 🇺🇸	['☀', '😁', '😍', '😊', '😎']
thankful thursdays. thank you to everyone who has supported the go fund me. this production is…	9 ❤	['💕', '😘', '❤', '😊', '💜']
all american girls right here. happy fourth	11 🇺🇸	['🇺🇸', '😘', '😊', '💜', '💕']
trappin' on christmas by produced by loud_paq808 …	7 🔥	['🎄', '❤', '✨', '😍', '😊']
today is a purple lipstick kind of day ft. wild …	18 💜	['😁', '💜', '😎', '😊', '☀']
please tell me what color green is on your lid in your snaps	2 😍	['📸', '😉', '😂', '💜', '😁']
love her songs bowl stadium	2 😍	['❤', '💙', '💜', '💕', '😘']
i love this moon angeles, california	9 ❤	['❤', '💕', '💜', '😘', '💙']
they're not lying when they say you'll have the time of your life …	18 💜	['😁', '😂', '😜', '✨', '😎']
beautiful views orlando resort	17 😊	['😍', '☀', '😎', '❤', '💕']
perfect kick off to a stellar 4th of july weekend another myers…	11 🇺🇸	['🇺🇸', '📷', '😘', '😎', '💕']
power of love.. by ... …	1 📸	['💯', '📸', '😘', '😂', '😜']
future home of nebraska memorial stadium	9 ❤	['💙', '🇺🇸', '💜', '❤', '😉']
please take me back to the beach beach, south carolina	12 ☀	['☀', '😎', '💙', '📷', '😜']
• salt lick • taco break for bbq • whoa baby •	3 😂	['💙', '😍', '😘', '💕', '❤']
always asks why i post derpy photos of him. well it's because he asks for it thanks…	0 😜	['📸', '📷', '😂', '✨', '😉']
my pretty bodyguards tonight for the hip hop night at liv... tables reservation and vip guest…	4 😉	['🔥', '✨', '😜', '😊', '😉']
deezucca york, new york	2 😍	['✨', '📸', '😍', '📷', '🔥']
currently twirkin wit cholly	3 😂	['💯', '😂', '🔥', '😎', '✨']
regranned from - just got a new drop of terp.nation…	7 🔥	['😉', '🔥', '😜', '😂', '✨']
the sun's out! , california	12 ☀	['📸', '📷', '✨', '😎', '💙']
turkey legs heights night	2 😍	['🔥', '✨', '📷', '😘', '😜']
hello austin! seeing if i can finally fully extend my arms. i still can't. : ***…	1 📸	['😁', '😍', '😊', '😎', '💙']
like-minded dragons //	6 📷	['😜', '📸', '😍', '😂', '😉']
when you take your with you back to work after field day, you get a class on the importance…	9 ❤	['😉', '😁', '😎', '😜', '💯']
spot was 's ristorante	7 🔥	['📷', '💯', '🔥', '😍', '😉']
that view ️ …	9 ❤	['😍', '😎', '💙', '😉', '☀']
i visited superman today! city	0 😜	['📸', '💯', '✨', '😎', '😊']
love you gene lasker. i won't give up. you know this face miss u already my twilzers	8 😘	['❤', '😘', '💕', '💜', '💙']
just a little something to take the edge off ugly christmas sweaters	9 ❤	['🎄', '😉', '😂', '😊', '😜']
baby sister & baby brother reservoir	15 💕	['💙', '😘', '💕', '😍', '❤']
